name,islock,rgb1,rgb2,rgb3,rgb4,rgb5,rgb6,rgb7,rgb8,rgb9,rgb10,rgb11,rgb12,rgb13,rgb14,rgb15,rgb16,rgb17
BASIC,FALSE,230.5.17,252.83.0,255.202.2,255.255.0,28.172.0,239.43.117,247.175.194,250.201.196,0.28.168,123.43.129,2.164.201,1.102.165,84.98.145,7.101.78,195.196.224, 255.255.255,25.22.22
FLORA,FALSE,247.237.212,255.183.147,252.96.143,219.96.129,149.75.151,153.67.94,254.111.105,205.86.33,81.102.88,127.168.143,195.216.176,126.100.107,69.68.77,169.28.73,112.79.135,36.161.166,144.128.68
WONDERLAND,FALSE,64.33.120,136.115.185,203.69.140,164.71.164 ,65.133.205,193.3.3,205.85.32,133.39.32,4.84.61,52.129.90,29.160.124,120.188.110,202.188.113,71.95.119,143.127.67,139.42.73,149.206.179
VIBEANT,FALSE,242.254.203,255.82.3,253.33.223,213.38.255,153.30.215,117.252.1,88.151.253,153.30.215,173.253.3,26.232.142,23.255.238,88.106.255,47.46.255,255.242.26,255.174.0,253.28.3,253.99.125
AUTUMN,FALSE,229.223.105,230.138.0,195.76.75,247.142.43,217.209.63,5.154.169,7.121.102,11.153.122,251.176.59,228.75.70,164.81.8,123.2.21,230.127.105,255.228.88,119.145.87,104.104.175,70.193.193
JOYFUL,FALSE,142.198.228,158.154.197,247.160.144,255.220.127,149.205.139,165.190.193,228.116.122,244.174.210,35.125.172,67.57.136,159.30.85,240.68.42,208.231.188,0.48.67,255.242.228,18.141.159,84.133.132
SWEET,FALSE,252.236.152,129.202.165,170.224.240,251.183.128,195.194.247,255.127.139,255.187.172,153.241.234,242.110.81,231.194.249,145.139.141,242.127.163,168.156.242,209.237.148,177.253.133,255.169.199,255.222.148
NATURE,FALSE,217.194.181,167.161.131,101.115.140,167.188.226,191.156.108,78.154.161,117.212.183,152.82.58,207.217.204,117.158.169,70.63.70,139.89.93,230.190.194,102.90.44,120.145.85,20.95.134,109.201.243
 REDS,FALSE,124.1.1,160.2.2,203.6.64,231.5.4,164.32.0,235.39.100,253.86.88,255.127.130,142.4.44,180.5.57,202.3.3,229.9.74,255.6.5,255.50.2,255.118.86,241.119.160,253.168.166
GREENS,FALSE,7.83.0,13.139.3,17.158.0,20.170.1,71.187.0,128.177.1,176.218.72,160.218.122,10.109.1,46.117.0,60.148.0,16.165.91,44.188.31,98.199.31,195.228.2,202.232.37,224.242.123
ORANGES,FALSE,123.46.0,159.78.0,202.78.5,253.99.1,224.133.1,255.123.42,255.187.41,255.217.174,122.67.2,162.62.2,228.87.0,232.109.0,254.143.1,255.143.45,255.181.82,253.189.128,255.213.127
YELLOWS,FALSE,166.131.3,208.162.6,205.182.2,254.199.4,255.218.86,254.228.2,255.253.39,255.253.129,162.145.1,165.164.1,231.180.2,255.209.41,232.231.0,252.226.130,255.253.84,255.254.171,253.244.173
PURPLES,FALSE,65.8.104,79.13.128,96.19.160,140.17.144,160.11.99,176.23.179,203.69.204,164.105.206,94.3.55,87.7.86,127.5.76,159.21.162,181.11.104,119.28.178,142.65.191,228.154.230,242.200.244
BLUES,FALSE,0.14.131,0.21.169,1.44.87,0.160.233,24.205.191,19.152.143,58.229.215,184.244.240,0.127.188,34.173.207,33.145.199,114.206.227,15.115.127,15.127.118,13.104.94,110.236.228,154.242.234
BLACKS&WHITES,FALSE,31.31.31,43.43.43,65.65.65,77.77.77,114.114.114,126.126.126,164.164.164,177.177.177,190.190.190,203.203.203,228.228.228,242.242.242,255.255.255,,,,
