ID,R,G,B
1,197,22,29
2,255,156,0
3,255,234,0
4,145,199,62
5,64,196,255
6,107,21,112
7,238,76,55
8,32,180,182
9,222,15,121
10,255,194,15
11,0,101,179
12,244,130,129
13,238,110,161
14,190,225,201
15,167,151,200
16,249,182,163
17,172,192,81
18,101,124,192
19,149,214,220
20,204,174,136
21,121,170,187
22,248,174,187
23,131,15,90
24,0,127,94
25,177,82,18
26,181,32,124
27,1,109,156
28,247,202,223
29,195,186,171
30,97,135,36
31,136,15,15
32,189,190,194
33,109,110,114
34,255,255,255
35,10,10,11
36,100,55,22
