ID,R,G,B,IsNewColor
1,59,88,178,FALSE
2,0,154,168,FALSE
3,72,134,198,FALSE
4,29,188,188,FALSE
5,109,145,203,FALSE
6,23,221,202,FALSE
7,77,164,231,FALSE
8,95,221,221,FALSE
9,109,201,243,FALSE
10,0,255,237,FALSE
11,191,230,240,FALSE
12,153,233,239,FALSE
13,158,7,69,FALSE
14,222,30,46,FALSE
15,204,0,78,FALSE
16,253,6,5,FALSE
17,255,26,109,FALSE
18,249,62,38,FALSE
19,255,118,148,FALSE
20,247,95,79,FALSE
21,255,174,184,FALSE
22,248,123,106,FALSE
23,255,199,203,FALSE
24,247,172,170,FALSE
25,230,112,2,FALSE
26,255,170,0,FALSE
27,255,115,0,FALSE
28,242,189,20,FALSE
29,255,134,34,FALSE
30,255,224,0,FALSE
31,255,163,41,FALSE
32,242,242,17,FALSE
33,255,180,90,FALSE
34,255,255,0,FALSE
35,255,205,156,FALSE
36,253,255,182,FALSE
37,0,158,136,FALSE
38,10,79,57,FALSE
39,0,188,156,FALSE
40,94,141,62,FALSE
41,25,224,186,FALSE
42,42,209,145,FALSE
43,33,237,212,FALSE
44,13,247,157,FALSE
45,108,229,198,FALSE
46,158,219,125,FALSE
47,175,242,213,FALSE
48,197,221,124,FALSE
49,1,1,2,FALSE
50,181,181,182,FALSE
51,62,58,57,FALSE
52,201,202,202,FALSE
53,89,87,87,FALSE
54,220,221,221,FALSE
55,114,113,113,FALSE
56,239,239,238,FALSE
57,137,137,138,FALSE
58,247,248,248,FALSE
59,159,160,160,FALSE
60,254,254,255,FALSE
61,109,39,116,FALSE
62,66,40,116,FALSE
63,158,78,158,FALSE
64,153,44,198,FALSE
65,195,31,204,FALSE
66,136,75,232,FALSE
67,212,57,216,FALSE
68,134,100,242,FALSE
69,242,76,218,FALSE
70,134,127,229,FALSE
71,221,149,239,FALSE
72,167,155,241,FALSE
73,87,42,17,FALSE
74,170,103,48,FALSE
75,117,70,46,FALSE
76,204,162,86,FALSE
77,147,100,114,FALSE
78,158,145,113,FALSE
79,246,183,124,FALSE
80,159,129,112,FALSE
81,198,193,103,FALSE
82,210,180,140,FALSE
83,239,203,132,FALSE
84,244,235,220,FALSE
