id,Name
L05_01,Sheriff Badge
L05_02,Mask
L05_03,Tape
L05_04,Bottle
L05_05,Thermometer
L05_06,Headphones
L05_07,Fire Extinguisher
L05_08,Hourglass
L05_09,Helmet
L05_10,Parrot
L05_11,Baseball Bat
L05_12,Exercising Wheel
L05_13,Mat
L05_14,Water Bottle
L05_15,cap
L05_16,Baseball Glove
L05_17,Vase
L05_18,Heels
L05_19,Bowling Ball
L05_20,Table Tennis
L05_21,Bucket
L05_22,Shoes
L05_23,Perfume Bottle
L05_24,Soap
L05_26,Ice Bucket
L05_27,Collar
L05_28,Stop Watch
L05_29,Towels
L05_30,Spice Sack
L05_31,Dart
L05_32,Handbag
