Key,Content
Gallery,Gallery
Inspiration,Inspiration
DownloadNewResource,New Artworks Available! Download Now!
DownloadNow,Download
OK,OK
Cancel,Cancel
Downloading,Downloading...
DownloadSuc,Download Completed!
Animals,Animals
Flowers,Flowers
Ladies,Ladies
Mandalas,Mandalas
Mysteries,Mysteries
Ocean,Ocean
Fashion,Fashion
Pixel,Pixel
Festival,Festival
Architecture,Architecture
MyArtworks,My Artworks
RESTORE,RESTORE PURCHASES
PostFaild,"Sorry, something went wrong. Please try again later."
MyFavorites,My Favorites
Favorites,Favorites
Posts,Posts
MyPost,My Posts
Edit,Edit
Done,Done
SureDelete,Are you sure to delete?
Delete,Delete
NO,NO
Yes,Yes
FavoriteEmpty,You haven't favored any image yet. Go to Inspiration and favor some!
PostEmpty,You haven't posted any image yet. Post your image to Inspiration now!
PurchasePack,Only $0.99 to unlock the article for unlimited future updates!
Later,Later
Buy,Buy
ResetImage,Are you sure to reset? It cannot be recovered!
Reset,Reset
Undo,Undo limits reached
PurchasePalette,Only $0.99 to unlock this palette!
Basic,Basic
Sweet,Sweet
Autumn,Autumn
Impressionism,Impressionism
Flower,Spring
Neon,Neon
Nature,Nature
Ukiyoe,Ukiyoe
Filters,Filters
Frames,Frames
Text,Text
Original,Original
Elegant,Elegant
Festive,Festive
Jubilant,Jubilant
Quaint,Quaint
Gold,Gold
Rahmen,Rahmen
Pencil,Pencil
Crayon,Crayon
Water Color,Watercolor
Shiny,Shiny
Gothic,Gothic
ShareYourArt,Share Your Art
PostToInspiration,Post to Inspiration
Posting,Posting...
GoToInspiration,Your artwork has been posted to Inspiration! Check it out now?
GoToInsBtn,Inspiration
TryAgain,Try Again
SAVE,SAVE
SaveSuc,Saved to Camera Roll
RateUsTitle,Rate Us
RateUsContent,Enjoyed our App? Give us 5 stars :)
NoThanks,No thanks
RateNow,Rate Now
FACEBOOK,FACEBOOK
FBLogin,Please Log In. You need to be logged into the Facebook app to share this photo.
NotInstalledFB,"Sorry, you haven't installed Facebook yet."
FBNotAvailableTitle,Sorry
FBNotAvailableContent,"Facebook connection is currently not available, please try again later."
Error,Error
FBNetworkFaild,There is something wrong with Internet connection. Please try again later.
INSTAGRAM,INSTAGRAM
InstagramNotInstalled,"Sorry, you haven't installed Instagram yet. Are you sure to download now?"
NotNow,Not now
EMAIL,EMAIL
EmailNotAvailable,"Sorry, you haven't set up any email account."
QuitGame,Are you sure quit the game?
Unlock,Unlock
Pack, Pack
Exit,Exit
ResetBack,Are you sure to exit? Art without color will be removed
SaveFailed,Allow Color Diary to access your album in "Setting"->"Privacy"->"Photos"
