id,Name
L14_01,Torch Light
L14_02,Surgical Knife
L14_03,Stethoscope
L14_04,First Aid
L14_06,Microscope
L14_07,Measuring tape
L14_08,Gloves
L14_09,Goggles
L14_10,Tweezers
L14_11,Scissors
L14_12,Camera
L14_13,Beaker
L14_14,Axe
L14_15,Light Bulb
L14_16,First Aid
L14_17,Foot Print
L14_18,Chain
L14_19,Fire Extinguisher
L14_20,Lanyard
L14_21,Lamp
L14_22,Pouch
L14_24,Bio-Hazard
L14_26,Mouse
L14_27,Flammable Sign
L14_28,Lizard
L14_29,Rat
L14_30,Severed Hand
L14_32,Measuring Tape
