id,Name
L06_01,Handprint
L06_02,Paper Crane
L06_03,Flower
L06_04,Snail
L06_05,Chess Piece
L06_06,Stapler
L06_07,Crucifix
L06_08,Fish
L06_09,Star
L06_10,Butterfly
L06_11,Ladder
L06_12,Razor
L06_13,Spider
L06_14,Snowflake
L06_15,Paper Clips
L06_16,Raw Crystal
L06_17,Violin
L06_18,Horseshoe
L06_19,Wing
L06_20,Rat
L06_21,Glasses
L06_22,Scissors
L06_23,Comb
L06_24,Gear
L06_25,Bracelet
L06_26,Clock
L06_27,Lock
L06_28,Whistle
L06_29,Key
L06_30,Binder Clip
L06_31,Dumbbell
L06_32,Magnifying Glass
