id,Name
L06_01,Cup Cakes
L06_02,Chicken
L06_03,Umbrella
L06_04,Watch
L06_05,Coffee
L06_06,Grapes
L06_07,Meat
L06_08,Chocolate
L06_09,Hotdog
L06_10,Kiwis
L06_11,Burger
L06_12,Horse
L06_13,Milk
L06_14,Donuts
L06_15,Biscuits
L06_16,Scissors
L06_18,Limes
L06_19,Butterfly
L06_20,Ice Bucket
L06_21,Violin
L06_22,Football
L06_23,Luggage Tag
L06_24,Broom
L06_25,Rose
L06_26,Pineapples
L06_27,Horns
L06_28,Trashcan
L06_29,Lobster
L06_30,Slippers
L06_31,Life Buoy
L06_32,Sunglasses
